Object Tracking Data File Wed, Mar 15, 2023 3:57 PM
X (pixels)  	Y (pixels)  
1006.50	179.10
990.83	232.75
1022.89	192.52
1009.91	188.98
1034.38	182.47
1003.35	179.65
1035.82	197.32
989.69	231.12
985.28	228.86
987.19	228.68
997.72	231.16
1042.64	195.39
1047.96	179.04
1051.70	188.48
1051.67	189.38
1020.99	219.39
1052.49	180.82
1049.03	179.15
1017.96	214.86
1059.12	164.65
1044.41	152.95
1017.33	201.30
1020.09	198.15
1042.17	159.73
1038.86	154.41
1043.33	149.33
1008.56	185.56
1083.98	122.51
1048.89	147.44
1097.39	112.91
1053.06	144.98
1018.73	189.87
1023.98	190.73
1022.86	192.98
1061.83	162.87
1021.64	201.92
1062.09	152.91
1062.13	144.32
1026.48	193.42
1022.11	197.59
1047.49	124.93
1070.44	150.87
1029.47	192.25
1069.33	142.50
1026.46	183.82
1019.70	182.90
1062.54	140.31
1052.34	146.33
1048.62	148.70
1015.95	188.60
1012.68	189.31
1016.60	188.51
1063.01	143.63
1024.32	186.03
1062.52	140.88
1099.45	109.95
1039.23	170.01
1026.28	187.70
1069.53	143.00
1024.00	190.04
1057.79	162.16
1027.42	195.40
1063.69	143.78
1051.09	147.33
1017.10	187.90
1019.02	182.74
1015.73	181.77
1046.58	149.18
1010.94	186.96
1053.38	147.24
1055.16	166.14
1058.59	159.73
1050.19	148.64
1059.38	160.83
1021.29	198.14
1045.21	155.90
1018.68	191.34
1023.78	191.25
1019.38	186.18
1021.97	175.69
1061.19	134.47
1022.35	167.01
1024.84	164.35
1049.09	125.16
1025.47	163.20
1026.75	153.35
1027.49	149.94
1025.08	147.22
1022.67	148.29
1028.40	143.28
1024.75	146.24
1065.11	107.98
1026.43	148.37
1066.17	102.09
1027.52	141.45
1027.93	138.28
1054.11	87.36
1043.99	137.76
1043.95	147.80
1049.96	146.97
1048.22	150.14
1052.74	147.07
1058.13	148.92
1055.80	146.01
1096.93	104.36
1054.91	146.17
1087.32	101.66
1058.45	149.40
1059.63	148.04
1060.23	146.23
1061.75	140.55
1070.19	141.57
1072.84	134.94
1098.12	84.28
1063.07	135.13
1068.93	138.85
1068.73	141.92
1070.65	145.42
1107.46	119.67
1076.90	142.80
1006.50	179.10
990.83	232.75
