Object Tracking Data File Wed, Mar 15, 2023 3:56 PM
X (pixels)  	Y (pixels)  
629.80	382.78
632.21	388.87
665.01	345.24
665.62	343.66
664.42	347.60
668.01	347.58
664.37	338.87
660.91	340.85
630.36	391.43
631.74	393.31
632.15	395.00
635.65	388.41
632.41	388.75
633.30	386.00
632.33	387.43
655.62	331.62
632.52	384.44
662.96	338.68
637.69	388.14
668.24	346.64
653.97	325.67
630.78	379.58
632.69	383.54
628.12	332.43
625.37	380.88
669.98	340.05
635.08	375.10
632.63	375.78
628.99	377.52
661.61	337.56
624.11	371.49
608.28	373.24
613.13	374.61
615.73	371.44
656.25	323.30
622.60	376.78
651.43	331.01
661.86	342.89
653.19	328.34
622.15	371.97
619.39	374.54
620.35	372.87
652.01	338.85
656.73	324.99
653.50	323.70
625.27	324.79
640.39	307.14
628.35	311.73
593.57	357.35
626.25	295.83
626.51	292.48
597.44	342.53
598.14	345.84
627.53	296.32
590.58	337.07
591.74	339.65
586.91	335.51
586.65	333.18
588.17	327.06
586.52	326.13
581.13	322.69
583.29	322.10
595.46	265.98
585.04	317.59
589.87	326.12
604.63	283.37
622.80	279.64
592.84	321.43
585.75	320.80
622.83	287.03
584.78	324.20
597.36	283.55
585.63	274.56
578.49	318.97
577.03	320.94
579.32	324.98
582.47	319.99
582.81	318.57
582.75	311.80
575.83	311.79
569.65	313.44
568.06	312.41
575.58	311.65
580.61	302.68
621.08	253.37
587.84	296.22
589.93	288.59
596.24	286.40
595.02	294.69
592.78	293.97
591.36	288.35
590.29	288.27
584.42	285.52
605.84	238.42
584.96	287.63
588.11	271.92
587.26	276.01
584.89	276.49
584.65	273.03
583.36	274.46
588.58	270.87
584.59	266.78
591.58	265.32
593.14	264.77
594.95	264.36
598.37	265.39
600.37	261.36
597.06	264.03
600.29	260.85
601.06	261.21
599.73	260.23
628.97	213.90
602.62	255.64
606.41	256.36
607.05	253.20
651.74	212.41
651.38	210.80
656.14	219.94
616.49	257.69
616.31	257.36
0.00	0.00
