Object Tracking Data File Wed, Mar 15, 2023 3:51 PM
X (pixels)  	Y (pixels)  
398.24	533.24
400.86	532.80
387.89	524.87
399.84	531.64
398.05	533.58
391.41	542.37
396.46	541.94
390.82	539.99
392.34	548.60
386.76	539.23
387.28	537.18
385.89	540.05
353.13	573.99
387.28	528.16
371.10	531.90
352.22	567.72
397.40	537.66
399.73	533.77
404.47	538.46
369.86	576.52
367.30	580.49
410.64	540.20
368.79	581.19
368.65	585.65
408.65	541.11
375.46	588.00
411.59	542.05
413.70	539.33
370.68	582.54
405.80	544.26
369.04	585.26
413.66	539.34
370.98	577.94
400.38	533.04
411.46	532.89
377.04	577.68
378.74	579.55
374.63	577.59
380.18	574.79
421.90	523.78
379.22	567.77
417.46	522.85
375.78	567.29
443.66	531.54
384.53	565.60
404.53	530.57
374.36	569.51
419.03	532.17
419.87	531.42
381.78	575.39
422.20	530.66
384.24	574.49
389.20	572.63
382.15	572.52
417.76	529.36
375.86	570.30
368.16	568.43
370.13	569.46
367.10	570.59
411.80	540.61
414.02	540.04
412.29	544.00
376.63	585.13
415.30	543.55
376.90	588.80
380.76	595.31
377.39	596.95
370.97	596.63
406.26	552.72
374.25	594.68
372.54	600.39
371.77	603.88
370.84	600.93
411.67	567.31
370.12	602.76
409.77	566.34
403.71	567.05
408.58	570.75
371.13	605.36
372.61	604.54
372.67	604.58
378.20	605.97
381.62	606.89
375.74	607.72
377.75	597.32
381.07	598.05
422.54	565.39
382.49	605.13
378.87	605.61
416.45	560.76
413.55	562.40
410.53	568.30
410.06	575.66
375.64	602.15
408.82	564.14
377.47	599.61
388.52	602.00
386.41	598.77
382.77	597.90
390.16	593.51
389.47	598.16
388.85	599.00
391.05	601.37
392.93	600.01
424.85	559.51
385.75	603.24
383.05	606.06
413.24	571.46
381.29	606.36
379.42	606.06
413.48	565.65
417.28	564.36
380.45	603.27
414.63	563.87
386.49	600.35
385.93	595.46
383.01	599.56
423.11	560.32
379.43	595.85
376.18	595.68
