Object Tracking Data File Wed, Mar 15, 2023 4:06 PM
X (pixels)  	Y (pixels)  
590.49	165.56
623.15	110.75
623.48	118.70
578.76	159.24
569.76	159.92
569.65	164.73
571.63	162.39
619.08	122.15
620.94	115.63
619.92	119.17
580.01	161.29
609.71	110.21
577.88	159.12
577.99	157.20
576.57	149.91
572.48	149.30
614.66	108.80
573.71	148.05
578.96	144.55
578.00	141.91
575.61	139.99
578.10	136.24
616.01	95.90
577.87	139.48
582.31	134.89
619.46	88.91
620.96	92.94
618.46	92.46
607.41	91.18
602.33	84.70
571.87	135.23
609.47	92.79
611.17	98.88
565.48	135.10
603.67	89.17
606.45	92.53
646.76	17.15
601.20	91.24
562.78	134.76
556.02	137.10
557.45	132.20
618.37	58.95
567.89	115.47
544.37	130.87
548.55	127.33
552.04	132.83
548.83	131.41
552.73	134.66
590.36	100.16
552.28	143.00
571.90	99.88
550.06	147.84
547.86	145.38
589.73	99.61
545.67	141.99
590.15	96.40
553.79	130.56
553.04	131.77
592.27	87.16
553.29	125.63
550.33	123.84
553.13	121.60
601.36	76.07
553.99	122.22
551.13	120.43
541.60	111.74
542.91	105.79
573.83	42.28
595.79	5.20
611.71	28.18
560.22	2.87
599.96	4.89
602.03	8.01
604.53	8.90
583.64	6.68
633.93	5.81
596.41	7.78
597.40	7.53
598.72	6.55
560.39	2.93
592.81	6.99
595.89	9.77
636.25	6.11
598.70	5.98
595.27	4.57
559.09	5.23
558.62	4.39
592.52	5.60
598.14	5.65
600.84	7.87
599.33	6.87
594.72	7.52
598.04	6.43
599.81	7.60
538.44	3.89
528.56	7.93
594.05	6.90
546.11	2.69
590.84	6.75
592.43	6.20
591.81	6.69
589.26	6.84
528.22	43.64
507.87	57.40
472.37	3.93
507.25	50.35
501.07	53.35
555.68	6.55
512.44	48.89
469.49	2.89
468.57	4.28
430.69	3.82
453.19	4.32
430.78	4.16
434.15	3.89
488.75	45.62
433.26	5.29
488.71	38.44
503.77	35.80
511.14	35.66
