Object Tracking Data File Wed, Mar 15, 2023 3:50 PM
X (pixels)  	Y (pixels)  
643.09	621.99
641.97	623.22
681.39	567.43
656.00	620.99
651.35	616.58
653.36	615.32
655.16	609.06
657.89	607.98
698.12	556.67
660.10	608.14
660.89	608.54
657.59	610.20
661.88	616.33
660.14	619.89
664.05	622.37
656.16	623.05
656.51	629.12
659.74	628.96
658.75	624.94
655.95	624.16
677.00	597.93
652.86	630.85
653.36	631.29
693.16	590.37
666.84	587.31
651.23	626.49
640.62	618.81
641.11	616.65
652.16	614.44
650.72	611.86
652.01	610.67
684.57	563.00
682.58	563.44
688.00	551.62
681.24	554.36
643.50	608.99
635.71	614.45
634.67	616.90
640.71	617.33
641.45	624.70
648.34	622.32
652.04	616.94
657.22	618.51
661.99	625.53
666.58	618.93
664.40	617.90
663.29	613.82
721.50	581.67
662.18	614.40
656.39	616.20
650.32	612.26
653.02	609.65
651.93	608.99
651.79	611.08
657.02	603.45
659.79	606.15
660.98	604.19
707.89	553.67
705.72	553.41
706.01	553.66
709.23	553.73
696.10	556.80
704.33	553.29
657.50	584.40
699.39	551.82
653.10	582.59
706.29	550.88
656.60	576.38
652.32	579.18
687.30	547.26
646.86	581.03
648.52	583.22
656.98	580.89
652.71	588.44
660.49	586.41
708.08	551.40
663.54	583.24
657.84	584.06
652.90	582.22
658.72	579.00
660.42	578.16
656.40	572.96
657.71	573.61
655.44	570.36
656.32	568.05
656.39	562.19
654.52	557.88
652.25	556.27
650.13	557.93
657.03	559.01
656.51	557.69
691.88	519.25
690.03	518.72
641.86	555.21
637.00	558.33
692.36	513.47
692.71	511.35
647.84	540.65
643.64	540.84
688.46	508.97
638.16	531.23
634.43	532.68
630.42	526.74
628.83	521.18
629.84	516.08
633.00	515.10
625.37	510.94
623.90	510.62
676.10	472.56
625.13	505.62
672.59	472.84
626.98	500.75
665.99	466.01
621.95	496.56
667.66	456.73
672.42	450.34
671.08	456.43
629.63	484.05
618.85	489.70
666.53	453.10
