Object Tracking Data File Wed, Mar 15, 2023 4:04 PM
X (pixels)  	Y (pixels)  
437.63	295.08
432.11	290.45
440.57	285.28
443.74	287.76
446.94	283.85
441.65	285.40
476.90	251.49
436.45	286.50
430.76	288.27
423.41	282.47
426.37	286.79
424.33	278.98
419.13	278.80
420.18	273.73
419.06	277.77
419.42	276.87
449.76	222.96
456.01	230.70
459.91	228.85
467.37	235.52
451.53	225.43
452.32	224.84
420.33	273.49
421.46	272.09
422.23	267.21
418.66	269.06
418.18	273.24
415.37	274.33
411.01	267.52
411.68	275.19
410.53	275.05
415.72	272.86
441.18	237.95
413.68	283.34
452.08	250.72
421.73	284.55
419.86	285.48
421.35	291.09
420.05	293.66
452.48	239.40
420.93	289.25
419.70	295.21
419.04	292.47
419.57	287.81
424.32	282.71
425.77	279.35
432.29	285.52
432.98	286.31
431.47	292.03
427.44	284.43
428.62	282.98
430.98	286.78
436.49	288.54
436.40	286.45
436.66	288.54
434.52	283.47
432.97	287.74
434.13	286.27
422.54	286.28
427.82	289.53
426.56	282.54
432.11	282.65
431.50	284.66
451.88	227.64
462.00	235.41
429.61	278.13
468.05	237.65
459.50	226.48
423.97	275.24
461.95	238.14
461.67	231.47
427.84	273.49
467.81	236.79
448.44	225.31
468.46	237.21
421.99	275.32
415.37	273.55
449.86	239.28
410.18	274.11
408.05	269.86
408.23	268.17
410.73	264.02
408.55	263.38
409.21	267.94
408.90	266.22
403.45	262.78
394.29	259.82
399.90	256.25
399.47	256.53
395.56	249.48
395.34	254.04
395.33	259.11
420.60	205.58
394.85	254.53
397.70	257.81
394.63	255.31
396.36	253.80
399.10	204.43
387.10	251.60
381.85	246.01
384.72	245.25
386.83	245.10
382.17	247.52
386.48	249.16
390.10	240.57
386.44	239.02
389.47	243.07
433.27	201.44
432.42	197.26
389.34	233.67
424.19	194.47
382.38	231.87
378.22	228.43
375.48	226.81
376.55	226.07
376.50	220.67
382.25	221.37
385.05	217.36
424.28	170.52
388.03	217.29
