Object Tracking Data File Wed, Mar 15, 2023 4:01 PM
X (pixels)  	Y (pixels)  
595.10	658.88
556.99	689.49
553.26	690.43
590.65	645.41
589.84	643.50
594.39	633.86
593.20	630.30
595.32	626.29
594.89	622.97
596.79	623.97
559.24	655.29
610.88	613.52
572.26	644.24
604.68	608.81
589.94	604.23
549.11	641.95
549.13	639.16
589.11	600.03
597.00	599.97
557.26	639.52
591.81	597.90
582.12	587.43
583.20	589.24
592.33	582.50
600.19	586.19
553.02	623.28
597.11	586.25
596.97	587.88
597.42	588.28
604.62	590.66
565.89	628.26
558.99	630.68
596.37	586.23
594.75	587.74
593.46	585.86
595.35	587.94
587.79	587.18
588.89	588.25
547.23	625.93
543.04	620.65
577.40	585.07
539.21	621.40
579.90	571.48
538.62	609.31
534.45	609.28
532.96	613.39
569.86	574.96
566.01	574.20
568.48	578.26
535.08	612.14
564.06	566.77
558.83	573.94
563.04	570.35
526.95	608.05
561.60	564.37
528.33	611.71
563.67	565.62
534.45	556.33
571.53	553.03
530.79	604.87
568.74	548.25
567.89	550.57
529.85	594.03
527.27	595.94
521.97	598.66
563.76	554.01
528.02	588.26
523.66	589.41
522.44	588.46
559.82	533.89
528.81	579.76
574.16	529.79
542.13	530.98
533.94	564.30
571.97	522.35
539.44	560.86
579.60	525.42
573.19	524.25
535.12	566.36
576.40	525.74
538.61	564.84
535.38	569.65
575.38	529.96
572.67	524.74
576.21	527.01
538.92	568.25
538.44	573.91
573.63	534.30
537.27	578.58
538.88	581.10
543.59	580.74
547.64	576.66
552.29	579.69
551.32	579.47
547.31	576.85
581.96	530.77
551.37	568.73
549.18	574.03
594.24	527.46
597.53	535.97
597.33	531.07
561.60	574.89
600.26	532.45
597.60	534.58
602.79	532.92
605.11	533.68
572.60	565.39
601.23	514.31
601.78	519.24
600.20	513.11
563.21	550.74
558.85	550.03
600.98	508.90
600.66	500.95
559.23	545.95
601.69	504.56
564.02	545.58
597.87	509.67
606.98	510.23
566.71	554.47
