Object Tracking Data File Wed, Mar 15, 2023 4:04 PM
X (pixels)  	Y (pixels)  
919.93	478.27
883.22	507.03
910.88	474.65
876.46	508.95
884.47	507.24
879.25	510.99
930.40	468.42
919.33	480.92
885.14	507.64
938.88	470.21
895.73	502.57
931.76	467.91
897.23	503.59
929.42	454.33
895.26	495.14
889.37	493.54
892.48	498.90
892.11	498.87
888.45	493.18
883.04	497.17
925.80	453.20
880.35	488.53
921.10	446.67
925.69	451.56
924.62	451.87
886.78	487.81
883.63	483.30
885.62	481.50
925.74	440.39
881.40	478.28
912.62	454.43
906.85	442.77
923.70	439.89
878.73	482.22
912.15	434.04
911.75	433.66
871.36	468.52
865.18	463.18
862.93	468.45
895.89	433.66
897.72	428.45
861.07	467.57
896.11	434.35
863.47	464.62
896.54	431.03
898.33	430.22
896.75	432.45
864.48	465.42
861.27	464.76
907.08	419.03
910.09	419.80
864.26	460.95
905.20	414.90
865.03	460.72
864.23	456.54
909.92	412.82
907.22	413.80
902.73	404.29
902.52	402.48
900.15	401.90
855.92	444.60
850.82	443.97
854.27	440.82
851.81	439.56
849.78	441.59
852.80	433.61
864.67	397.76
875.92	406.81
844.49	439.96
840.00	435.36
876.65	384.23
841.70	426.52
843.28	423.65
842.45	418.63
844.22	424.38
844.12	420.00
887.00	370.79
850.38	411.75
846.99	405.91
841.36	398.88
890.39	341.50
845.87	392.74
839.67	389.42
839.61	385.02
840.37	375.54
876.90	326.35
880.67	320.22
841.22	356.61
840.07	354.59
880.82	307.58
910.51	307.51
847.44	342.42
834.37	346.49
835.55	343.11
832.62	328.51
832.44	332.37
834.89	330.88
834.55	326.95
838.25	324.81
872.40	272.57
830.92	322.82
828.94	323.12
824.06	328.61
864.19	306.86
864.47	300.92
864.25	294.23
858.48	277.16
816.17	273.50
837.88	273.29
807.35	296.54
844.98	274.09
804.33	294.53
802.40	296.62
804.89	297.06
846.42	277.94
806.81	299.23
835.06	280.92
802.04	297.70
841.58	251.77
834.71	260.10
0.00	0.00
