Object Tracking Data File Wed, Mar 15, 2023 4:10 PM
X (pixels)  	Y (pixels)  
485.44	652.45
526.98	619.45
521.29	615.52
480.77	654.41
478.59	650.46
473.65	650.31
508.94	606.99
509.48	609.87
503.87	603.32
467.22	648.61
470.02	651.78
507.70	613.14
465.31	647.30
503.15	611.11
500.37	611.63
500.56	611.04
498.84	611.58
455.66	655.46
499.78	611.29
497.83	611.22
501.35	610.67
459.89	646.44
465.94	638.87
509.34	597.60
512.23	596.75
473.83	641.74
462.75	640.77
514.60	592.89
513.39	593.72
521.22	595.76
475.69	628.41
516.72	583.26
512.60	577.80
506.32	576.79
514.91	577.46
505.95	575.58
499.31	571.93
501.80	571.20
457.42	609.92
462.16	602.18
497.95	553.19
492.80	575.56
451.94	607.65
452.94	605.01
448.87	600.94
450.43	598.60
452.10	603.77
450.96	597.64
449.56	589.46
489.28	543.02
444.06	582.29
490.01	543.37
446.41	576.33
446.70	573.04
446.13	568.46
446.37	563.70
446.00	561.50
491.14	516.72
447.52	560.03
447.19	560.52
484.06	530.79
482.90	526.39
444.46	562.27
438.78	563.40
435.03	568.26
480.98	534.64
439.73	561.84
481.81	523.40
447.10	562.44
480.24	520.42
440.51	564.89
445.09	552.80
442.40	557.26
438.68	565.94
443.08	564.77
474.39	528.26
472.31	535.20
430.67	566.30
426.98	564.68
461.20	535.25
425.76	568.40
425.80	573.17
457.45	531.53
420.64	569.99
443.95	530.32
466.14	533.69
457.49	531.64
460.67	532.97
418.01	578.03
417.45	575.96
457.65	532.41
419.42	575.20
415.63	572.99
415.73	572.23
418.72	576.63
419.94	582.98
420.87	584.66
421.39	585.11
420.64	578.03
427.48	568.13
462.69	530.80
466.87	530.34
457.40	532.05
422.69	569.56
463.35	530.37
462.65	530.65
421.14	574.21
424.23	572.39
413.85	577.28
409.51	573.88
442.98	528.42
402.91	577.78
398.86	580.26
434.07	531.53
431.76	533.59
430.43	531.98
383.99	577.27
421.04	545.96
374.09	584.62
373.97	577.11
