Object Tracking Data File Wed, Mar 15, 2023 3:51 PM
X (pixels)  	Y (pixels)  
239.38	315.99
239.76	321.31
235.29	317.48
233.36	316.58
230.88	314.58
233.30	309.35
234.82	308.93
230.40	305.89
230.37	301.65
230.93	306.64
229.53	308.16
231.16	306.34
248.55	254.53
226.40	300.17
227.88	308.92
229.20	312.18
229.67	311.22
274.24	268.08
241.88	307.61
271.86	272.93
238.32	311.32
236.57	306.53
240.23	305.83
244.82	306.53
250.36	306.84
251.16	311.97
246.14	310.99
249.32	307.12
245.53	301.47
251.06	298.72
254.93	300.94
256.92	298.25
255.81	290.89
254.32	291.33
291.62	242.50
255.00	290.86
253.99	284.16
297.97	243.68
295.08	241.44
294.58	243.84
294.28	242.00
296.47	240.78
306.48	240.48
339.96	217.00
279.79	275.10
264.87	289.13
298.86	242.55
336.10	217.86
279.15	274.73
340.64	217.28
314.53	239.32
270.16	274.54
314.74	235.71
340.35	212.44
319.19	237.44
275.59	264.19
314.95	222.81
272.93	256.71
272.68	253.50
273.34	253.96
276.75	249.06
287.50	245.37
286.25	248.30
287.54	241.64
282.96	244.43
321.59	204.70
283.35	234.86
320.75	195.79
325.90	193.73
322.91	178.05
294.72	224.63
290.89	223.05
293.97	221.08
283.86	217.34
281.92	213.62
274.28	217.14
276.63	214.86
307.98	173.91
268.98	213.58
308.37	178.01
267.39	214.78
264.17	214.95
298.10	180.70
295.99	183.45
257.50	219.42
291.19	183.89
290.92	181.91
286.91	169.15
289.25	182.79
254.47	210.03
252.83	212.41
288.89	180.12
250.90	207.55
252.75	206.47
256.69	210.09
257.13	209.84
258.54	206.40
264.49	209.22
260.40	209.49
265.83	208.65
306.98	167.66
265.46	203.90
266.80	197.08
302.87	158.40
265.95	191.62
301.97	161.28
267.69	198.51
306.93	161.59
301.56	164.39
264.27	200.07
260.53	205.06
268.42	204.17
263.94	206.89
259.40	210.31
258.07	204.94
292.97	156.38
291.98	147.77
249.84	186.43
281.62	139.86
246.55	186.90
