Object Tracking Data File Wed, Mar 15, 2023 4:16 PM
X (pixels)  	Y (pixels)  
843.30	567.54
837.64	579.04
840.84	564.53
798.70	609.57
866.22	573.20
804.85	603.62
798.69	603.80
797.36	596.38
793.74	597.83
791.37	594.90
788.00	597.11
793.86	602.06
830.58	573.73
806.33	591.32
827.38	571.37
822.92	559.31
819.39	556.43
819.64	557.85
802.81	582.11
789.96	590.00
785.41	592.91
820.83	557.02
801.71	577.95
788.98	590.31
787.76	585.96
789.63	584.48
794.51	556.11
794.61	575.67
789.70	578.97
790.16	581.54
792.69	576.74
794.54	578.24
797.61	579.90
796.25	579.19
795.63	580.09
790.95	572.12
795.09	575.96
794.14	573.88
800.39	575.23
832.15	548.15
839.77	548.74
841.67	521.35
818.64	551.84
838.75	549.54
828.40	523.12
809.54	556.72
796.47	573.82
795.89	579.30
795.28	576.19
806.52	540.21
796.84	562.14
786.63	569.69
804.11	540.15
791.29	565.46
779.45	573.63
770.19	576.73
764.23	576.54
764.32	581.05
762.96	573.73
763.10	571.44
760.36	573.55
755.04	570.93
754.87	570.23
755.45	566.68
754.49	570.34
748.33	563.81
749.39	561.20
748.77	560.59
748.55	564.05
750.05	556.60
749.99	557.00
742.85	554.14
737.29	560.05
737.94	559.96
771.27	531.64
777.49	511.90
783.33	516.20
763.20	537.87
779.85	530.80
784.30	516.49
783.16	514.46
760.75	534.21
781.18	509.85
781.84	514.89
762.82	533.72
773.65	512.39
752.08	535.74
744.45	545.55
742.91	540.90
739.54	540.86
741.60	543.79
742.00	539.11
739.75	542.92
741.42	544.67
740.37	546.32
738.35	540.46
735.21	542.44
732.93	552.60
728.03	550.76
764.28	524.79
765.90	512.61
752.20	512.93
730.25	538.40
717.30	544.90
712.71	543.16
712.43	549.95
712.88	554.22
714.95	562.14
716.35	558.55
715.32	559.57
729.98	531.65
722.78	558.31
715.35	566.34
715.04	558.31
718.00	561.78
719.09	562.38
721.07	562.56
716.31	554.80
715.95	559.18
740.51	534.28
