Object Tracking Data File Wed, Mar 15, 2023 4:05 PM
X (pixels)  	Y (pixels)  
1182.30	404.87
1181.41	403.27
1178.15	408.45
1182.70	404.66
1176.89	410.37
1132.69	437.04
1134.11	428.78
1172.84	409.62
1132.75	433.69
1140.34	395.89
1136.71	426.80
1127.87	427.37
1168.92	377.78
1128.80	422.42
1167.09	370.20
1132.47	415.25
1130.36	412.88
1166.48	367.23
1164.52	363.38
1163.59	363.51
1122.97	404.84
1166.35	370.59
1169.70	363.97
1128.37	406.83
1123.63	405.37
1128.99	408.12
1126.59	412.62
1121.03	416.01
1119.74	413.07
1162.93	366.52
1115.58	416.40
1163.42	364.18
1165.16	364.84
1117.02	406.24
1110.42	410.80
1108.31	411.95
1109.85	410.84
1111.29	410.42
1109.89	413.52
1108.33	410.46
1105.20	414.00
1100.03	408.71
1099.16	408.64
1096.48	407.64
1090.56	410.77
1093.90	411.62
1090.75	413.55
1096.11	405.37
1133.28	360.70
1093.79	404.18
1094.79	396.96
1091.76	392.45
1130.08	347.33
1127.05	337.02
1097.73	378.48
1090.22	379.45
1112.98	346.98
1087.62	381.75
1085.90	378.24
1076.36	372.88
1075.09	373.00
1110.39	341.02
1076.70	372.70
1121.27	326.93
1076.13	372.24
1075.39	381.08
1076.56	380.98
1065.02	379.92
1101.78	334.93
1103.33	331.90
1079.47	383.64
1071.43	382.51
1075.58	383.14
1075.70	382.43
1119.22	333.67
1114.14	345.10
1078.62	385.68
1085.43	377.43
1118.89	349.80
1080.64	368.92
1076.77	370.01
1076.58	372.18
1078.49	377.25
1085.39	367.44
1092.18	368.19
1123.82	322.91
1095.50	369.21
1092.46	366.31
1092.31	366.77
1088.24	368.04
1088.27	372.33
1121.97	325.95
1084.80	376.27
1121.61	333.78
1083.30	372.65
1123.59	336.66
1081.70	377.80
1072.89	375.72
1103.24	332.11
1104.20	332.48
1067.79	372.30
1102.81	331.56
1069.31	369.84
1073.53	368.92
1074.01	358.43
1071.31	359.02
1073.13	362.83
1076.03	360.82
1082.93	359.89
1084.08	366.22
1081.55	369.06
1087.93	375.03
1074.94	371.58
1071.35	361.65
1076.13	367.42
1068.26	368.99
1102.14	334.90
1077.44	374.29
1076.80	370.48
1078.32	371.30
1138.12	427.65
1181.41	403.27
