Object Tracking Data File Wed, Mar 15, 2023 4:01 PM
X (pixels)  	Y (pixels)  
1126.09	504.74
1178.28	469.38
1132.78	495.23
1134.47	487.18
1169.32	470.56
1129.00	491.11
1130.68	488.28
1129.68	486.44
1134.74	482.86
1133.46	479.98
1130.35	476.73
1127.87	472.96
1129.39	475.18
1129.97	468.52
1170.08	426.98
1134.78	465.52
1137.77	465.07
1136.65	462.63
1133.08	463.84
1126.93	463.21
1120.95	461.24
1156.85	423.50
1112.29	468.04
1151.27	412.44
1110.14	456.13
1147.85	410.99
1113.36	452.68
1154.65	411.62
1114.23	452.02
1154.04	414.31
1116.82	449.97
1117.99	449.88
1118.61	445.80
1114.32	445.50
1152.28	411.65
1112.01	446.81
1112.33	448.43
1106.70	446.25
1151.95	411.77
1106.36	445.91
1149.63	398.28
1106.93	434.89
1149.19	392.69
1108.29	441.99
1149.09	414.91
1111.05	438.15
1112.46	438.67
1108.39	439.44
1142.84	395.79
1130.69	414.22
1143.86	394.34
1103.66	439.76
1108.31	437.71
1109.88	435.62
1147.57	392.18
1145.74	410.73
1140.08	414.42
1098.82	439.63
1097.99	438.47
1138.96	414.60
1152.00	412.42
1151.02	411.93
1109.36	450.58
1152.13	417.02
1109.54	445.72
1111.80	450.67
1109.90	449.91
1112.17	446.76
1113.06	440.25
1111.95	445.41
1110.66	440.76
1146.30	400.11
1112.31	441.61
1146.70	419.67
1115.82	444.30
1122.72	441.89
1124.40	443.26
1116.45	439.68
1120.27	438.08
1122.42	433.86
1131.64	429.85
1168.60	378.04
1132.76	421.17
1127.46	421.02
1124.29	420.69
1124.27	421.89
1115.16	418.96
1119.73	421.00
1117.16	419.34
1121.05	420.92
1118.15	418.40
1117.98	419.58
1119.03	419.44
1166.47	367.41
1164.12	363.37
1118.60	406.75
1110.72	402.83
1149.40	359.00
1149.17	362.35
1105.13	402.05
1088.72	368.30
1093.18	400.46
1138.10	348.80
1133.98	349.48
1094.62	386.07
1141.88	346.72
1097.58	391.55
1099.00	391.85
1134.28	351.55
1132.57	346.61
1119.64	347.11
1089.61	403.59
1130.97	357.53
1090.31	401.55
1129.47	355.24
1094.26	401.12
1088.86	402.35
1120.52	369.42
1120.92	357.38
1089.55	397.62
0.00	0.00
