Object Tracking Data File Wed, Mar 15, 2023 4:07 PM
X (pixels)  	Y (pixels)  
839.56	564.21
839.98	568.60
872.57	531.84
846.87	553.77
850.61	552.65
850.70	551.40
848.63	539.34
850.53	539.63
843.07	536.96
839.47	533.49
878.72	483.34
841.10	530.94
837.70	538.39
830.84	537.50
831.18	537.76
868.39	499.48
825.96	536.23
826.51	537.20
824.94	539.76
826.08	542.62
823.06	545.62
869.30	499.02
865.13	502.64
822.92	530.80
821.79	537.59
814.38	502.32
817.66	535.12
863.09	505.23
865.90	502.98
869.64	499.18
836.07	513.98
833.35	490.33
832.13	493.10
794.86	537.40
787.51	542.90
835.52	490.52
828.39	490.45
832.64	492.99
792.79	531.87
792.03	528.53
792.57	535.31
844.15	502.85
828.47	491.76
787.20	533.83
782.64	534.77
833.86	484.66
865.08	501.45
846.91	504.82
829.15	494.96
787.36	534.79
784.77	532.35
782.02	527.61
779.59	523.54
776.32	519.56
773.77	513.33
769.66	513.33
768.26	518.69
813.75	480.56
795.29	482.22
758.57	519.45
795.24	481.74
798.06	481.59
761.54	514.19
755.37	518.45
793.83	478.95
748.74	511.55
749.21	510.85
755.40	505.60
794.33	460.56
799.16	458.53
759.29	505.35
754.92	509.35
755.93	510.14
789.76	477.48
749.00	513.78
742.00	512.23
746.37	510.01
747.85	507.30
745.83	500.40
781.39	453.36
780.10	446.47
751.11	489.63
783.16	445.61
792.32	444.41
749.81	488.83
799.78	457.02
752.82	492.94
783.77	444.73
819.37	404.30
787.95	444.26
789.20	449.76
820.90	403.52
783.48	450.75
783.52	444.35
789.45	443.57
785.99	442.98
780.27	434.93
744.18	474.33
754.85	431.75
773.13	433.13
777.42	441.46
739.49	477.39
778.15	434.80
736.49	476.61
735.02	469.64
777.87	436.21
731.66	464.03
733.04	461.32
732.00	467.05
760.10	428.33
771.28	432.10
776.75	425.85
775.78	429.43
736.39	467.99
733.60	463.30
771.03	423.75
770.43	415.74
773.55	430.31
731.78	458.07
727.93	451.31
0.00	0.00
0.00	0.00
