Object Tracking Data File Wed, Mar 15, 2023 3:58 PM
X (pixels)  	Y (pixels)  
275.80	291.46
273.84	288.05
339.74	214.57
280.17	273.87
269.65	284.44
265.82	281.15
266.77	283.73
291.20	242.84
311.20	252.09
314.23	233.90
322.43	241.40
281.34	277.87
287.15	284.33
297.54	287.04
322.08	242.72
297.76	282.28
301.86	284.75
299.75	290.21
323.74	240.32
287.45	284.57
325.13	237.96
289.19	285.53
288.53	285.40
324.57	237.11
290.26	280.41
291.87	280.39
329.15	237.70
289.56	270.51
286.46	264.45
330.68	221.43
296.94	257.82
296.34	249.40
293.40	253.14
291.64	251.14
295.33	248.21
290.75	247.81
336.83	195.69
290.20	238.81
297.53	239.69
298.44	235.89
289.07	234.49
293.03	230.76
337.64	197.12
332.53	192.74
338.91	198.65
297.63	232.41
296.28	230.41
298.14	230.49
290.60	236.94
290.78	236.53
303.97	230.31
308.85	226.18
341.82	181.31
313.18	229.97
342.80	181.50
346.96	182.60
345.35	181.34
347.64	179.98
311.98	219.76
312.40	213.24
348.76	171.06
351.83	170.53
310.52	208.73
348.95	171.65
347.93	157.39
349.86	155.22
350.50	160.27
353.26	156.40
344.55	162.61
349.74	157.04
347.08	160.64
313.58	199.34
311.97	202.57
313.66	195.25
354.22	155.48
346.64	154.56
307.79	188.91
303.87	185.23
308.21	177.68
303.84	181.24
345.14	141.05
313.33	178.23
350.76	138.27
311.32	174.54
317.60	173.89
311.38	175.90
316.72	178.02
314.58	170.80
311.27	174.23
345.04	114.98
304.45	153.64
299.17	149.31
330.75	91.44
301.73	146.93
347.08	111.35
347.08	113.58
347.97	114.42
300.64	158.42
301.42	155.84
330.73	92.64
330.49	92.12
296.98	146.22
288.07	151.01
288.54	155.90
324.34	115.02
283.99	153.59
281.52	149.54
275.55	147.84
280.96	146.38
279.94	143.17
283.46	134.71
284.20	143.58
300.35	106.84
330.57	91.69
323.48	93.44
280.14	132.75
328.36	94.39
323.91	81.85
287.38	120.02
292.68	118.06
