Object Tracking Data File Wed, Mar 15, 2023 4:14 PM
X (pixels)  	Y (pixels)  
977.49	399.44
940.50	435.59
978.68	398.03
981.73	393.98
978.24	407.09
977.83	397.35
941.65	438.12
983.25	401.29
980.65	399.37
977.20	403.22
945.91	447.48
987.77	410.82
944.53	438.14
979.28	400.16
979.28	396.09
980.78	398.45
928.50	444.39
962.06	405.91
961.02	403.12
956.27	406.43
910.52	450.72
947.87	416.18
908.06	458.09
905.56	454.66
907.20	455.73
948.00	421.09
909.61	457.35
947.23	413.42
944.00	423.93
899.12	453.93
942.57	422.98
897.54	451.11
946.67	414.33
903.69	453.71
903.31	454.53
902.67	449.24
907.17	452.45
908.77	454.64
949.17	415.61
904.10	447.06
904.60	443.85
957.31	404.90
906.75	440.02
956.60	406.12
901.45	437.41
890.79	437.70
889.57	434.25
923.41	382.33
924.47	382.95
925.55	387.82
933.00	390.26
879.25	423.79
916.73	383.75
868.02	422.17
865.20	421.46
865.57	422.79
923.73	380.28
865.33	421.36
907.23	385.86
922.04	382.02
918.34	382.12
861.90	418.36
924.13	380.49
863.58	416.58
925.05	382.98
865.47	417.33
920.04	380.35
924.87	380.81
865.06	416.36
842.75	422.01
850.59	419.46
848.02	415.59
844.95	411.64
840.11	414.83
838.75	408.26
899.65	372.51
843.55	409.64
909.00	340.23
847.75	393.36
881.02	358.52
829.40	391.00
880.90	345.44
832.28	387.53
829.32	393.82
820.78	390.26
873.01	338.51
873.19	336.75
870.24	332.43
867.78	323.89
871.97	321.18
866.06	316.96
866.24	308.09
867.93	305.34
862.59	300.28
855.91	297.04
907.11	281.91
852.04	272.04
852.43	298.84
817.11	316.83
853.81	297.10
861.24	257.92
819.33	306.39
817.00	307.27
859.40	256.24
818.31	304.34
862.58	257.44
817.66	303.54
861.06	256.96
817.73	290.30
877.49	247.90
858.57	234.00
817.69	284.74
818.01	276.88
879.39	243.20
859.49	236.46
822.66	272.21
816.91	262.80
816.92	255.66
858.78	206.02
813.03	256.74
0.00	0.00
