Object Tracking Data File Wed, Mar 15, 2023 3:48 PM
X (pixels)  	Y (pixels)  
902.97	372.02
901.09	368.99
903.66	373.43
899.56	370.43
902.73	364.77
899.13	369.59
899.19	371.01
904.89	370.87
962.32	328.36
907.41	356.59
899.49	360.10
900.09	355.76
900.85	360.32
906.75	367.62
911.58	357.09
956.30	305.64
925.69	358.35
918.06	370.59
960.68	344.66
953.14	344.69
959.12	331.62
920.41	377.81
974.30	353.27
918.40	381.38
918.06	388.65
960.90	361.51
923.07	382.53
960.75	352.53
929.33	368.00
933.52	363.15
941.40	357.48
943.08	356.41
981.02	322.96
951.67	346.59
946.27	347.77
949.76	347.29
949.70	344.73
944.99	341.54
976.57	317.02
933.62	333.07
935.97	330.16
936.10	336.26
943.56	330.60
939.68	332.29
982.84	304.52
942.83	330.17
978.74	302.44
939.52	330.41
956.92	298.88
932.96	328.84
972.16	302.77
939.06	318.71
965.03	282.21
940.71	317.03
987.65	264.51
949.59	312.28
995.56	263.42
995.93	258.90
993.88	270.31
955.90	305.99
955.28	303.62
995.37	265.40
956.23	284.51
990.29	242.61
945.50	280.29
985.86	259.49
944.65	280.41
942.77	282.35
988.59	259.61
963.68	259.06
938.64	286.89
945.84	285.50
993.14	268.56
992.35	252.58
980.86	265.90
990.24	266.13
993.24	259.35
950.64	292.65
950.01	288.34
991.97	269.54
993.09	264.84
944.33	291.38
991.71	264.82
944.29	286.02
993.00	238.66
942.64	281.48
943.87	281.51
941.78	279.18
980.96	253.20
939.46	282.98
940.40	282.95
932.58	281.47
931.76	285.34
937.70	282.42
939.71	287.72
986.70	243.02
991.09	251.24
988.79	250.81
985.43	243.58
945.16	287.94
948.32	286.64
990.52	265.38
951.70	284.64
955.84	281.35
955.12	284.69
975.76	248.88
948.45	278.74
991.70	259.06
956.63	283.65
961.15	278.16
957.04	282.46
963.37	277.61
996.20	249.60
969.34	273.62
966.46	269.06
969.13	271.38
1019.50	247.60
974.04	274.55
1017.92	246.72
1018.61	245.00
0.00	0.00
