Object Tracking Data File Wed, Mar 15, 2023 4:07 PM
X (pixels)  	Y (pixels)  
1107.09	276.15
1092.19	291.28
1090.33	289.48
1093.49	287.66
1051.19	310.59
1087.11	256.74
1050.36	304.74
1037.30	308.22
1085.81	256.03
1081.10	262.23
1086.40	257.17
1042.61	298.79
1084.18	257.90
1083.23	249.66
1078.55	258.90
1039.81	299.85
1043.81	306.69
1082.18	262.77
1078.89	262.11
1086.53	259.05
1084.05	257.06
1043.41	308.57
1082.18	258.02
1081.44	267.41
1046.02	309.58
1049.94	307.89
1055.27	304.41
1091.63	253.94
1055.80	303.47
1056.18	295.41
1058.23	295.27
1103.63	257.51
1088.47	251.19
1107.34	261.22
1057.18	296.04
1057.48	299.59
1054.25	299.11
1050.76	302.26
1053.52	300.26
1052.02	303.20
1105.86	259.76
1101.51	261.14
1058.63	295.07
1056.87	299.33
1063.64	297.80
1100.85	275.24
1098.90	255.57
1061.73	298.02
1105.87	259.51
1165.55	232.78
1086.73	303.22
1055.89	286.39
1053.99	282.08
1098.59	236.65
1058.23	278.22
1058.69	276.69
1057.62	281.58
1059.79	277.25
1063.08	278.52
1060.47	276.06
1062.84	272.08
1103.76	243.81
1110.90	230.70
1062.15	266.00
1095.33	236.31
1098.03	224.97
1054.34	257.14
1052.47	254.06
1045.86	219.59
1052.11	258.86
1112.86	214.05
1089.95	232.96
1049.81	257.07
1066.72	221.32
1091.16	231.52
1045.67	259.75
1044.85	261.49
1081.11	229.33
1037.86	254.17
1087.80	227.47
1045.56	252.87
1043.37	258.60
1071.28	220.05
1040.94	250.99
1041.34	246.74
1039.62	244.72
1061.28	200.02
1084.94	210.93
1038.02	240.61
1080.15	204.62
1081.20	206.72
1081.73	205.29
1079.44	209.41
1046.42	236.38
1044.71	235.64
1084.06	209.06
1091.34	197.26
1085.77	203.47
1049.84	228.25
1092.47	174.32
1093.63	176.14
1131.60	195.76
1064.93	231.85
1051.03	236.47
1092.71	196.84
1089.12	179.28
1091.40	173.02
1091.64	174.84
1088.45	171.78
1091.57	172.16
1049.13	180.30
1088.85	177.28
1083.95	180.76
1090.62	152.62
1073.24	144.96
1035.67	198.06
1034.22	204.29
1036.06	205.10
1074.99	182.10
1077.24	180.69
0.00	0.00
