Object Tracking Data File Wed, Mar 15, 2023 3:55 PM
X (pixels)  	Y (pixels)  
207.60	418.03
251.56	380.03
242.91	375.67
209.44	409.43
203.38	408.21
244.28	369.09
241.67	366.05
211.77	404.25
240.78	367.20
241.75	371.24
237.64	368.64
227.25	367.85
190.50	413.90
220.68	363.31
219.47	359.68
223.17	361.66
183.47	404.49
214.15	364.44
168.69	399.46
212.67	363.71
176.67	408.65
220.74	384.94
221.65	375.01
211.97	367.79
171.05	414.50
168.31	415.77
169.71	415.42
178.40	408.20
176.66	407.92
178.61	405.98
178.86	403.93
216.97	363.64
230.73	361.72
185.22	398.72
222.83	360.94
178.01	401.97
246.46	331.10
189.23	387.40
213.70	348.17
178.67	389.25
176.31	389.69
182.68	387.98
215.75	347.12
177.70	386.68
215.30	347.26
203.90	352.08
213.19	349.70
173.46	389.40
168.78	391.29
246.14	333.95
185.02	385.17
199.73	350.65
195.48	348.43
164.12	394.61
172.10	398.44
246.38	330.52
198.98	351.06
167.28	394.75
164.21	391.48
195.84	347.80
213.33	350.17
181.11	394.53
217.41	346.22
219.86	350.06
180.18	399.52
179.52	409.57
174.68	405.97
174.67	405.64
168.63	404.63
168.06	402.00
160.95	397.43
166.31	396.26
159.30	394.70
154.16	398.53
151.31	398.33
150.94	400.64
145.17	394.47
183.32	356.52
194.45	364.32
192.58	362.82
162.32	399.85
159.57	401.83
186.40	351.53
189.50	352.62
152.82	390.28
183.63	353.08
142.24	394.09
182.30	355.00
183.01	352.65
181.70	353.43
140.91	387.57
185.30	351.62
139.37	379.81
132.55	374.22
141.96	344.61
130.40	376.71
130.44	376.87
131.27	379.30
124.82	379.65
124.45	375.83
122.97	382.62
126.28	385.80
124.08	380.84
117.78	377.57
121.34	383.88
133.91	341.45
112.28	386.91
113.96	393.72
150.95	357.70
112.46	393.99
111.71	393.81
140.37	346.19
111.05	386.55
110.09	384.06
131.09	345.95
119.51	378.01
161.36	341.28
113.86	381.50
107.83	384.19
105.34	387.26
