Object Tracking Data File Wed, Mar 15, 2023 4:17 PM
X (pixels)  	Y (pixels)  
1187.91	344.40
1185.20	346.77
1180.53	349.18
1131.64	383.15
1129.90	386.19
1122.29	385.49
1155.09	347.12
1121.81	384.89
1163.92	338.78
1161.12	336.19
1157.53	339.70
1161.31	333.42
1152.69	343.06
1155.55	345.50
1149.18	360.67
1159.35	336.11
1146.74	362.07
1153.65	347.41
1117.70	347.62
1101.59	370.76
1096.79	380.61
1133.73	358.71
1106.74	377.53
1101.25	378.01
1095.40	376.30
1092.62	378.84
1088.21	376.81
1085.28	370.62
1091.60	367.42
1090.63	358.21
1094.26	353.37
1094.34	345.41
1093.66	340.36
1097.63	338.92
1100.54	339.48
1133.06	314.05
1106.90	333.68
1138.64	306.34
1109.24	329.18
1126.64	312.44
1099.75	331.19
1087.85	337.67
1081.35	340.58
1083.73	336.84
1083.76	343.01
1082.11	350.61
1080.23	349.01
1084.61	354.04
1080.29	350.75
1082.72	351.12
1119.95	317.81
1130.08	323.33
1126.35	329.50
1125.03	307.67
1127.47	320.63
1100.49	345.07
1124.97	335.17
1099.14	353.28
1091.93	358.35
1085.14	361.30
1083.97	361.04
1082.08	357.34
1081.41	361.57
1116.70	336.85
1124.24	330.21
1124.97	335.40
1120.43	342.10
1129.65	314.35
1098.05	344.66
1087.65	361.93
1089.76	360.49
1092.86	354.96
1128.63	334.06
1131.35	329.32
1137.65	306.89
1106.18	335.32
1096.30	346.63
1131.51	318.02
1141.48	285.78
1135.28	309.64
1141.76	287.20
1116.03	315.66
1109.56	329.03
1137.73	301.77
1147.37	296.46
1149.88	269.51
1142.64	287.95
1140.51	287.71
1147.70	257.25
1141.28	287.88
1141.92	295.31
1143.41	291.16
1144.03	290.71
1138.18	289.03
1145.63	283.78
1139.21	284.16
1133.48	249.50
1134.69	270.99
1133.23	272.52
1135.84	268.26
1103.65	287.85
1132.25	267.50
1132.76	275.64
1133.11	274.09
1134.39	275.35
1133.78	268.27
1105.72	283.23
1119.99	269.40
1151.91	253.87
1116.83	272.35
1119.02	270.15
1119.67	272.10
1117.29	270.24
1086.13	287.19
1072.68	287.70
1065.07	291.65
1067.88	292.97
1065.10	291.89
1064.21	286.42
1065.82	287.02
0.00	0.00
