Object Tracking Data File Wed, Mar 15, 2023 3:49 PM
X (pixels)  	Y (pixels)  
468.72	377.34
462.64	376.40
465.37	372.62
418.38	414.93
408.96	412.82
446.99	375.89
439.74	378.36
403.80	420.86
409.09	413.75
442.07	383.87
439.68	382.66
441.97	379.43
418.98	382.23
445.08	381.41
440.43	381.34
431.50	370.95
427.39	372.24
394.18	424.70
392.67	422.85
385.90	426.12
388.51	425.01
425.39	390.57
430.08	389.96
423.10	389.48
427.06	403.70
386.36	436.42
391.90	433.37
396.17	430.94
430.51	396.92
434.05	390.69
393.93	429.80
428.20	381.17
430.71	390.00
394.76	426.20
426.36	373.86
433.26	388.13
428.29	393.83
429.58	396.27
393.59	430.46
431.56	391.59
438.33	391.59
400.62	432.44
396.97	425.06
429.50	374.02
435.74	372.98
402.11	419.77
400.97	426.73
401.90	430.92
402.32	430.82
442.00	389.60
406.49	431.53
400.06	435.39
432.88	392.04
428.02	396.42
393.23	434.08
429.42	393.38
401.45	438.86
441.63	393.25
433.78	390.33
399.01	434.17
428.20	393.05
405.20	428.09
406.18	431.03
447.06	386.49
454.90	402.23
450.27	398.17
419.42	436.00
427.58	372.47
422.20	427.26
416.95	430.04
453.28	386.67
415.38	432.67
444.37	391.18
413.20	435.16
412.00	437.27
448.17	392.07
418.55	436.73
459.80	400.80
422.27	443.01
460.87	401.40
459.48	401.40
429.40	446.79
445.02	409.40
462.78	411.76
470.13	392.47
473.40	386.20
471.84	388.37
473.35	385.58
474.79	386.92
437.11	431.30
433.37	434.61
433.61	435.94
436.79	428.16
478.01	387.12
484.48	386.85
436.79	432.13
432.83	434.94
472.15	386.43
431.83	434.05
465.09	377.42
473.51	385.34
473.47	384.72
438.70	413.53
469.62	369.60
468.24	387.58
432.99	417.44
433.49	418.67
463.53	377.83
427.88	424.69
427.59	425.23
466.64	376.39
465.79	377.21
434.62	425.45
445.81	423.57
486.50	386.00
486.71	369.89
485.38	375.40
445.78	416.55
478.90	386.82
446.56	415.60
468.72	377.34
462.64	376.40
