Object Tracking Data File Wed, Mar 15, 2023 3:59 PM
X (pixels)  	Y (pixels)  
935.83	550.39
938.99	553.05
897.81	595.29
893.69	601.19
925.37	549.44
932.65	574.11
940.12	554.60
939.52	569.77
901.67	592.72
901.21	589.60
901.39	589.09
897.88	589.93
890.90	597.80
925.55	544.28
894.55	582.64
892.42	580.68
885.78	575.22
886.45	577.01
924.72	548.15
923.10	551.36
895.25	549.75
923.02	543.32
924.49	551.64
925.19	549.24
899.92	540.28
925.47	550.14
873.12	584.68
915.63	540.22
922.42	552.38
873.11	587.15
918.33	561.37
913.31	558.59
896.56	553.15
885.19	581.15
923.08	554.42
924.19	547.34
872.66	577.58
912.58	557.16
909.51	552.76
875.56	573.17
871.35	570.97
870.10	573.13
908.66	551.81
865.07	569.38
905.05	537.94
907.66	535.33
904.37	532.93
911.58	526.90
865.38	560.53
909.31	529.80
868.84	551.23
855.58	556.81
902.27	526.04
892.00	528.49
855.17	553.16
900.03	532.45
900.84	532.60
889.04	537.25
889.78	528.78
903.30	526.05
856.22	559.23
852.81	556.91
849.82	555.80
853.55	554.27
885.03	529.68
853.30	517.40
857.65	519.82
838.29	541.46
864.74	504.63
843.21	541.52
839.23	545.39
840.00	536.59
838.46	540.74
867.97	503.29
864.92	507.79
866.02	504.67
866.35	494.87
836.68	539.25
835.89	533.20
836.40	535.61
865.68	505.07
875.67	498.28
833.95	540.16
875.43	498.02
864.64	507.06
826.61	542.29
863.86	507.68
832.89	547.39
864.71	507.32
866.87	509.67
824.22	564.67
827.05	562.50
852.13	545.64
821.10	572.90
816.04	575.48
819.93	580.92
819.02	582.05
820.66	581.15
823.37	582.33
820.23	579.13
822.34	582.51
823.55	579.24
816.51	577.54
821.34	574.94
819.46	577.82
817.94	579.68
810.95	577.39
814.50	577.85
810.75	574.28
809.57	578.14
808.21	575.41
802.98	568.49
806.12	570.80
800.25	570.47
851.45	517.69
802.14	565.23
841.76	521.11
797.98	565.95
843.05	508.92
795.84	558.51
868.72	597.51
