Object Tracking Data File Wed, Mar 15, 2023 3:45 PM
X (pixels)  	Y (pixels)  
223.15	225.79
218.29	227.29
222.64	224.79
218.69	221.37
257.44	188.83
255.40	189.89
222.96	227.80
256.01	190.62
255.90	186.40
257.33	187.56
258.62	194.54
218.75	226.47
219.34	226.57
249.80	183.55
243.66	179.80
203.25	230.01
233.27	183.10
233.35	184.01
227.81	185.72
226.47	182.46
187.11	218.90
217.78	179.35
178.64	209.76
220.75	175.93
221.73	178.87
222.15	166.19
184.55	209.93
185.55	213.01
222.18	180.58
185.06	221.43
179.44	219.99
220.65	181.64
220.75	182.85
217.11	181.51
221.06	181.71
180.73	214.20
216.68	179.87
182.18	217.13
176.73	214.14
175.73	213.76
215.20	172.81
212.09	166.80
173.38	203.51
213.29	166.27
213.74	167.18
212.30	171.14
209.42	166.72
206.64	167.84
173.44	214.34
172.25	210.75
205.87	171.95
200.69	163.33
204.44	171.96
169.75	213.00
208.01	168.37
180.09	207.46
217.37	164.91
177.69	209.13
210.16	170.48
205.62	171.36
212.22	173.64
206.78	164.52
175.88	208.70
212.29	167.20
169.28	209.82
170.71	211.93
212.33	177.60
202.31	174.34
204.00	178.63
206.92	173.60
165.30	214.91
203.27	171.73
163.55	209.66
161.71	208.31
199.60	173.08
161.38	211.38
197.68	173.05
188.43	171.24
153.01	215.94
157.00	219.73
187.58	173.23
170.67	173.67
181.60	164.37
158.94	219.24
191.20	183.76
161.67	222.64
158.49	221.61
155.93	212.82
164.68	213.08
169.92	214.88
202.14	173.22
170.12	217.60
175.54	214.40
179.67	208.89
209.66	164.15
179.41	207.45
205.12	174.14
220.08	160.30
216.40	161.36
218.72	161.43
209.13	151.65
204.31	153.31
204.21	149.23
212.78	163.30
217.92	153.63
234.67	129.06
206.16	143.51
178.20	182.20
178.06	188.89
175.66	189.11
217.50	152.21
182.20	195.28
223.45	156.07
224.23	158.43
188.90	197.47
221.30	153.92
222.43	156.44
221.14	164.80
185.72	210.05
190.49	205.13
223.13	225.80
