Object Tracking Data File Wed, Mar 15, 2023 4:13 PM
X (pixels)  	Y (pixels)  
203.27	463.61
205.71	465.94
199.99	466.47
198.61	464.14
197.88	458.18
195.63	459.71
246.36	416.50
203.90	453.89
242.90	419.50
246.44	411.34
205.28	456.32
243.62	410.23
245.86	414.53
206.53	455.27
240.77	411.81
238.29	409.81
236.85	402.10
189.28	443.57
220.60	402.23
185.76	441.67
238.49	396.57
244.70	397.00
208.45	441.45
241.80	396.44
213.29	436.37
218.65	440.74
221.23	435.46
217.61	434.45
252.27	394.71
224.21	437.72
213.63	441.48
243.77	403.93
240.27	397.98
245.71	399.69
240.67	398.28
240.03	395.07
238.60	393.65
238.43	392.04
239.45	397.26
204.87	438.73
238.62	397.55
238.22	396.48
226.88	381.81
243.51	393.24
204.63	428.43
253.43	392.57
202.36	424.11
225.02	385.50
197.52	421.49
238.71	385.96
241.43	377.89
241.68	370.86
210.14	404.18
212.54	403.68
215.12	401.50
213.03	400.73
214.99	401.72
208.95	402.76
208.41	399.22
210.32	397.36
205.90	396.01
204.50	392.65
200.54	395.25
194.51	392.07
231.35	354.67
236.31	352.13
194.79	387.05
190.33	382.06
190.70	385.44
192.57	385.21
190.43	382.03
187.92	382.39
182.56	385.58
176.52	384.54
181.14	382.77
226.31	343.12
187.72	379.57
185.49	382.53
242.53	336.67
196.16	379.81
226.81	334.43
231.44	343.31
195.50	383.51
192.92	379.38
232.52	346.09
227.63	335.49
194.53	381.96
189.28	384.25
228.75	340.79
229.99	340.74
226.75	342.48
180.85	380.47
178.62	381.70
226.27	343.75
214.87	346.96
218.00	344.50
184.46	379.91
191.24	384.57
226.55	343.55
226.08	343.71
182.77	382.50
183.39	377.21
226.51	340.42
185.92	371.51
181.96	375.37
214.11	332.34
174.52	371.90
174.01	360.74
213.22	323.06
170.13	358.15
205.72	315.67
170.16	348.04
169.97	346.46
166.14	344.25
204.59	307.11
168.43	343.24
162.29	337.78
162.38	333.56
169.63	331.00
175.26	330.13
