Object Tracking Data File Wed, Mar 15, 2023 3:54 PM
X (pixels)  	Y (pixels)  
1166.05	195.55
1170.76	180.82
1170.18	178.46
1175.68	183.25
1173.77	181.97
1174.77	181.96
1171.60	183.98
1171.05	178.73
1175.81	181.82
1171.99	175.74
1181.87	180.98
1170.76	179.85
1172.76	179.85
1174.17	175.69
1178.45	182.06
1173.71	181.11
1177.34	177.54
1172.21	181.50
1173.37	179.20
1176.81	178.94
1179.53	180.36
1174.42	178.62
1178.86	162.98
1176.13	180.30
1170.26	181.92
1169.82	183.33
1131.04	58.81
1170.81	180.62
1173.36	180.29
1180.30	176.75
1171.70	181.00
1192.12	171.30
1178.25	174.05
1175.47	170.47
1181.27	174.55
1175.95	173.78
1175.27	177.61
1174.86	183.77
1177.00	178.50
1127.31	216.06
1100.15	224.19
1103.97	220.16
1172.40	175.53
1118.80	203.19
1135.37	161.02
1105.41	201.64
1090.47	208.33
1091.07	203.97
1093.05	203.75
1092.22	201.38
1106.19	155.29
1068.98	142.82
1125.56	140.93
1164.28	123.62
1160.91	130.11
1121.16	176.23
1101.60	188.68
1098.91	187.37
1097.39	188.02
1097.33	183.89
1106.44	117.26
1169.91	131.91
1178.91	99.96
1176.32	108.88
1170.24	109.85
1126.14	161.95
1107.98	180.70
1106.62	178.77
1108.75	175.50
1108.38	175.65
1170.79	114.31
1126.17	155.99
1175.63	109.24
1179.72	99.07
1178.66	100.02
1130.66	144.37
1167.77	105.95
1126.56	149.06
1179.48	97.90
1178.25	97.96
1178.96	94.59
1176.66	101.93
1177.99	104.38
1178.98	97.98
1200.88	102.61
1180.79	96.59
1176.76	97.98
1189.35	92.80
1182.88	81.19
1166.72	69.79
1139.08	94.98
1119.12	133.37
1104.73	150.46
1101.41	155.20
1104.56	152.22
1105.38	148.30
1100.61	147.00
1102.35	150.23
1137.68	94.65
1169.81	42.52
1172.25	67.15
1178.30	29.05
1168.66	68.98
1132.54	117.27
1172.32	66.93
1127.97	118.22
1172.47	76.63
1173.12	81.55
1178.63	27.78
1181.43	79.75
1173.10	67.21
1172.98	93.73
1172.30	66.53
1136.89	90.37
1196.37	92.15
1141.03	128.78
1107.11	148.45
1131.08	108.56
1108.83	142.17
1097.93	147.67
0.00	0.00
0.00	0.00
