Object Tracking Data File Wed, Mar 15, 2023 4:08 PM
X (pixels)  	Y (pixels)  
431.80	535.16
469.64	490.78
505.19	482.75
450.72	535.27
476.20	503.54
474.24	495.75
464.93	480.93
435.62	533.44
426.49	531.44
424.24	534.91
461.35	482.37
458.08	483.94
418.24	525.05
428.05	474.25
471.72	486.46
466.61	484.76
425.17	517.55
459.98	465.24
457.66	458.21
429.69	506.94
429.65	516.97
473.91	480.93
465.52	473.30
433.89	520.20
474.45	483.87
437.70	518.52
436.39	516.45
444.04	513.58
451.29	511.43
484.42	473.24
449.75	510.07
446.93	509.88
448.68	512.60
446.11	512.83
446.58	508.75
446.73	509.49
442.22	508.81
443.77	509.04
439.31	505.59
477.17	460.77
436.96	507.57
464.58	444.19
467.89	443.28
479.96	456.55
443.29	501.13
440.71	490.02
473.32	447.09
467.94	442.53
432.95	477.89
426.12	478.57
498.98	407.77
442.34	462.56
452.40	425.58
421.74	466.26
419.70	468.24
419.02	467.50
419.39	460.00
412.08	457.94
408.04	461.20
410.28	458.83
406.50	456.33
411.86	458.78
413.65	453.17
414.21	454.46
412.27	452.41
413.64	455.49
412.94	447.37
404.54	453.88
405.77	449.58
442.78	407.89
444.00	396.77
435.56	385.77
426.43	373.80
427.52	372.95
429.83	373.07
427.06	372.22
427.72	374.63
392.96	425.00
394.00	423.97
428.37	374.98
392.93	418.21
391.51	421.05
390.88	420.90
426.23	372.90
390.62	415.57
391.49	412.73
393.50	415.18
393.59	411.20
427.65	373.14
394.49	408.66
387.34	412.30
383.21	409.72
383.92	409.72
380.62	409.52
379.47	413.12
424.14	371.53
384.70	404.27
382.17	400.71
377.49	401.90
376.04	399.52
375.81	399.59
408.68	360.82
379.56	401.92
376.35	399.78
374.79	397.71
414.97	358.93
373.33	397.95
377.93	396.84
380.70	396.39
385.32	398.81
381.28	402.20
381.59	400.64
420.68	368.22
382.80	406.92
384.31	407.48
456.80	346.45
397.54	399.06
420.65	373.45
381.59	413.47
377.77	413.42
0.00	0.00
0.00	0.00
0.00	0.00
