Object Tracking Data File Wed, Mar 15, 2023 4:11 PM
X (pixels)  	Y (pixels)  
842.93	552.96
848.25	570.57
814.26	600.58
813.45	600.67
816.08	597.09
812.76	598.00
808.52	603.39
851.28	575.52
851.45	577.21
851.55	571.79
848.35	578.21
847.59	578.74
811.28	609.79
845.60	577.70
848.76	578.57
836.69	571.91
799.12	610.74
849.62	575.35
848.03	575.79
848.42	574.51
843.45	567.02
803.68	603.86
800.29	605.74
796.88	602.69
791.12	605.07
788.63	605.66
795.25	604.04
790.98	602.43
829.57	572.21
799.26	596.02
794.74	592.66
806.23	588.66
849.10	549.46
807.73	588.60
809.99	584.24
806.35	583.94
841.23	521.04
846.70	536.16
843.01	555.66
802.70	573.71
805.41	573.17
846.86	531.30
835.42	528.24
851.11	517.58
852.88	517.65
809.71	558.06
852.85	516.00
847.35	504.58
844.28	501.23
848.86	505.17
847.33	504.91
810.51	541.77
848.26	504.61
848.71	504.83
811.75	517.63
808.29	541.09
813.16	541.59
850.22	503.58
863.14	506.32
852.50	524.52
847.48	520.20
852.11	511.87
835.58	522.73
813.59	547.72
847.36	506.28
828.67	510.29
811.95	545.82
851.24	517.70
852.77	513.50
849.32	506.00
795.62	552.38
852.07	515.48
846.38	502.91
840.86	507.75
846.39	503.84
851.33	509.29
807.83	531.81
794.64	530.16
796.46	528.37
789.27	525.43
790.48	527.28
785.95	526.42
822.87	503.81
806.58	501.17
786.27	526.67
781.33	534.71
829.29	486.46
823.65	485.88
779.51	526.19
795.00	485.84
790.33	522.79
781.85	521.70
794.70	484.08
792.25	524.05
829.13	500.98
835.11	478.49
830.69	473.07
795.19	506.52
795.67	504.46
788.00	509.29
786.76	509.37
810.02	459.02
778.71	500.24
776.98	504.79
779.84	506.55
773.85	508.44
780.77	505.30
780.29	507.58
804.15	482.50
782.85	509.23
827.60	462.48
788.10	499.81
792.70	505.03
796.59	507.05
826.42	482.87
835.76	473.94
795.55	506.84
793.29	498.39
831.50	457.58
829.30	458.58
0.00	0.00
