Object Tracking Data File Wed, Mar 15, 2023 3:53 PM
X (pixels)  	Y (pixels)  
920.50	527.61
925.75	525.81
897.14	460.50
970.91	478.83
925.86	514.70
966.29	472.47
962.69	472.22
958.02	467.41
952.40	465.38
956.02	467.08
921.29	502.29
966.57	459.64
941.07	488.17
928.21	494.05
931.00	494.03
927.04	493.48
932.31	491.08
935.75	491.99
974.16	444.73
983.57	450.85
988.80	451.20
986.19	447.65
989.62	445.58
967.56	470.19
954.38	482.24
951.60	479.09
990.73	449.52
961.72	472.40
1003.65	431.60
1001.57	430.98
993.10	456.21
991.95	448.37
987.81	462.79
989.85	439.55
991.89	436.63
976.75	425.93
971.92	421.75
973.95	446.03
949.61	473.15
973.81	434.47
969.82	442.10
967.66	437.22
943.91	457.61
965.36	432.36
968.51	436.57
962.15	425.58
966.69	426.86
945.30	451.10
935.46	462.19
929.71	463.80
970.18	422.43
970.16	421.87
947.57	446.51
934.09	461.22
964.69	422.73
958.61	423.37
932.70	447.26
949.14	415.99
948.53	414.49
925.77	438.84
909.07	451.32
899.03	449.15
894.78	451.85
895.61	452.25
895.14	445.06
892.39	447.57
893.50	451.64
893.24	447.03
894.01	446.75
895.38	448.86
898.77	446.60
921.31	409.24
907.61	439.27
899.02	450.69
894.87	452.83
937.20	414.00
916.53	441.10
905.85	445.97
902.92	448.43
900.17	444.37
900.13	443.66
898.67	442.08
899.06	442.94
897.47	442.25
898.83	443.36
901.84	445.28
901.61	450.60
901.49	453.48
903.92	455.20
901.41	450.38
903.22	456.80
900.27	456.01
899.13	456.45
896.80	449.89
895.26	449.12
900.14	452.07
902.23	445.17
903.66	442.23
904.48	438.51
900.02	441.62
903.42	442.74
900.47	446.00
897.29	441.27
892.51	443.40
890.48	442.15
889.13	443.47
893.19	444.40
892.09	444.33
891.55	446.97
891.06	442.25
891.78	441.55
891.18	442.73
892.42	446.06
883.33	411.20
893.08	433.86
892.99	437.95
911.88	403.05
933.96	391.67
941.64	398.32
941.38	402.14
0.00	0.00
